Feature,Gender,Role
F0semitoneamean,0.000000,0.010089
F0semitonestddevNorm,0.000000,0.000000
F0semitonepercentile20,0.000000,0.003229
F0semitonepercentile50,0.000000,0.000307
F0semitonepercentile80,0.000000,0.003623
F0semitonepctlrange0_2,0.000028,0.604664
F0semitonemeanRisingSlope,0.000006,0.013313
F0semitonestddevRisingSlope,0.000107,0.022961
F0semitonemeanFallingSlope,0.000353,0.000000
F0semitonestddevFallingSlope,0.035145,0.000000
Loudnessamean,0.151025,0.000004
LoudnessstddevNorm,0.031565,0.000000
Loudnesspercentile20,0.004988,0.000000
Loudnesspercentile50,0.241694,0.000260
Loudnesspercentile80,0.578155,0.043480
Loudnesspctlrange0_2,0.141241,0.014742
LoudnessmeanRisingSlope,0.157445,0.000000
LoudnessstddevRisingSlope,0.395839,0.113067
LoudnessmeanFallingSlope,0.018629,0.000000
LoudnessstddevFallingSlope,0.000115,0.148709
SpectralFluxmean,0.027133,0.080588
SpectralFluxstddev,0.070404,0.599566
Mfcc1mean,0.283120,0.280714
Mfcc1stddevNorm,0.210664,0.628530
Mfcc2mean,0.331014,0.000000
Mfcc2stddevNorm,0.620826,0.382390
Mfcc3mean,0.000000,0.000336
Mfcc3stddevNorm,0.815418,0.719330
Mfcc4mean,0.573388,0.000000
Mfcc4stddevNorm,0.604988,0.276264
JitterLocalmean,0.000000,0.175817
JitterLocalstddev,0.900108,0.000000
ShimmerLocalmean,0.000000,0.000005
ShimmerLocalstddev,0.000097,0.447067
HNRmean,0.000000,0.000000
HNRstddev,0.003255,0.282155
LogRelF0H1H2mean,0.000000,0.000000
LogRelF0H1H2stddev,0.835244,0.362728
LogRelF0H1A3mean,0.000924,0.000000
LogRelF0H1A3stddev,0.374633,0.752894
F1frequencymean,0.004856,0.000038
F1frequencystddev,0.000000,0.002348
F1bandwidthmean,0.797530,0.000000
F1bandwidthstddev,0.000000,0.046878
F1amplitudeLogRelF0mean,0.000000,0.000001
F1amplitudeLogRelF0stddev,0.000000,0.116867
F2frequencymean,0.000000,0.085381
F2frequencystddev,0.000000,0.552215
F2bandwidthmean,0.000000,0.000000
F2bandwidthstddev,0.000001,0.005362
F2amplitudeLogRelF0mean,0.000000,0.000030
F2amplitudeLogRelF0stddev,0.000002,0.958040
F3frequencymean,0.000000,0.090781
F3frequencystddev,0.007188,0.654951
F3bandwidthmean,0.000629,0.000000
F3bandwidthstddev,0.001292,0.946479
F3amplitudeLogRelF0mean,0.000000,0.000006
F3amplitudeLogRelF0stddev,0.000019,0.547173
AlphaRatioVmean,0.020027,0.000035
AlphaRatioVstddev,0.426902,0.191842
HammarbergIndexVmean,0.000061,0.225257
HammarbergIndexstddev,0.290059,0.002363
SlopeV0_500mean,0.668252,0.000000
SlopeV0_500stddev,0.309766,0.115090
SlopeV500_1500mean,0.073805,0.000000
SlopeV500_1500stddev,0.008038,0.002234
SpectralFluxVmean,0.354830,0.482370
SpectralFluxVstddev,0.176930,0.026519
Mfcc1Vmean,0.298380,0.070739
Mfcc1Vstddev,0.532040,0.229078
Mfcc2Vmean,0.040042,0.000000
Mfcc2Vstddev,0.417864,0.573971
Mfcc3Vmean,0.000000,0.000000
Mfcc3Vstddev,0.596096,0.290803
Mfcc4Vmean,0.875421,0.000000
Mfcc4Vstddev,0.315151,0.045800
AlphaRatioUVmean,0.546738,0.136850
HammarbergIndexUVmean,0.691032,0.000048
SlopeUV0-500mean,0.001902,0.000000
SlopeUV500-1500mean,0.629841,0.000000
SpectralFluxUVmean,0.068896,0.000000
LoudnessPeaksPerSec,0.208461,0.000000
VoicedSegmentsPerSec,0.819812,0.000000
MeanVoicedSegmentLengthSec,0.000000,0.031831
StddevVoicedSegmentLengthSec,0.000000,0.334664
MeanUnvoicedSegmentLength,0.000007,0.000000
StddevUnvoicedSegmentLength,0.000004,0.000000
EquivalentSoundLevel_dBp,0.000000,0.357603
